COLE_CODIGO_COLEGIO;COLE_NOMBRE_SEDE;COLE_ES_BILINGUE
86496;CORP EDUC AMIGOS INSTITUTO JEAN PIAGET;0
86504;SAGRADOS CORAZONES;0
86538;CODESPA;0
86579;JOSE ANTONIO GALAN;0
66118;COLEGIO MIXTO LA PAZ;0
66126;INSTITUTO  COLOMBIA;0
66134;ACADEMIA DE CIENCIAS DE COLOMBIA AKADEMOS;0
118968;COL INST BOLIVARIANO ESDISEÑOS;
122218;INST EDUCATIVA DEPTAL FERRALARADA;0
123240;COL AMERICANO;
122101;INSTITUCION EDUC DISTRITAL CIUDADELA ESTUDIANTIL ANT - CEB - 186;0
122788;COLEGIO FACUNDO NAVAS MANTILLA;
122812;CENTRO DE ADULTOS JORGE ELIECER GAITAN;
122408;CENT EDUC DIST PAULO VI;
122754;INST TEC GUAIMARAL;
123331;I.E. AGROP CINCO DIAS - SEDE PRINCIPAL;
120998;CENTRO EDUCATIVO AGROECOLOGICO;0
121004;INST TECNOLG ANTONIO RICAURTE;0
131599;COLEGIO INSTITUTO  BOLIVARIANO - SEDE PRINCIPAL;
131664;CENT EDUC DIST NUEVA ESPERANZA;
131565;INSTITUTO CENTRO DE SISTEMAS LTDA;
131771;CENT EDUC SAN PEDRO CLAVER;
131789;COL FRANCISCO JOSE DE CALDAS;
131797;INST CAMILO TERREROS;
116012;COLEGIO JOSE IGNACIO ZABALA                                                                         ;0
116020;INSTITUTO EBENEZER;0
116038;COLEGIO NOCTURNO DE BACHILLERATO SEMESTRALIZADO HISPANOAMERICANO;0
116087;IE LA CAMPIÑA;0
116103;JORGE ELIECER GAITAN;0
116129;I.E. LUIS HERNANDEZ VARGAS - SEDE PRINCIPAL;0
130039;CENTRO EDUCATIVO IVAN ILICH  - SEDE PRINCIPAL;
130062;GIMN LA ARBOLEDA                                                                                    ;1
130070;FUNDACIÓN EDUCATIVA CENSA JUAN SEBASTIAN GUTIERREZ BUSTAMANTE - SEDE PRINCIPAL;
130088;INSTITUCION EDUCATIVA SIMÓM BOLIVAR;
131482;INST EDUC ALFONSO LOPEZ;
121400;ESCUELA DE GESTION Y FORMACION EMPRESARIAL;0
122184;INSTITUCIÓN EDUCATIVA RURAL MARIA GORETTI;0
122390;CENT EDUC DIST PAULO VI;
123141;INSTITUCION EDUCATIVA SOLEDAD ROMAN DE NUÑEZ;
123687;SEDE 1  SANTIAGO VILA ESCOBAR;
122929;INSTITUCION EDUCATIVA AMBIENTALISTA DE CARTAGENA;
149492;CENTRO DE EDUCACION INDIVIDUALIZADA;
128850;COL CIUDAD SANTANA;
128876;SEDE 1 SAN JUAN DE LA CHINA;
128983;INST EDUC SAN JUAN BAUTISTA DE LA SALLE;
129130;CENT EDUC DIST ALTAMIRA SUR ORIENTAL;
129239;CENTRO DOCENTE URBANO JOSE MARIA OBANDO;
129296;SEDE EL MIRADOR;
